sender	sender_type	sender_id	timestamp	blockId	calibrationTrialset	color	congruency	correct	correctResponse	duration	ended_on	keypress_time	personalDeadline	reaction_time	response	response_action	testTrialset	time_commit	time_end	time_render	time_run	time_show	time_switch	word
inform	html.Screen	0	2021-11-27T13:45:58Z	NA				TRUE	continue	167702	response	NA	NA	NA	continue	click(0) button#submitInform		167876	167874	172	163	179	167896	
consent	html.Screen	1	2021-11-27T13:46:27Z	NA				TRUE	continue	29379	response	NA	NA	NA	continue	click(0) button#submitConsent		197260	197258	167879	167876	167896	197292	
instructions	html.Screen	2	2021-11-27T13:48:24Z	NA				NA		116810	response	NA	NA	NA	continue	keypress(Space)		314089	314086	197276	197260	197292	314126	
startPracticeScreen	html.Screen	3	2021-11-27T13:50:22Z	NA				NA		117974.00000000006	response	NA	NA	NA	continue	keypress(Space)		432087	432085.00000000006	314111	314089	314126	432124	
	flow.Loop	4	2021-11-27T13:50:25Z	NA				NA		2995	completion	NA	NA	NA				435119	435119	432107	432087	432124	435134	
StroopPracticeTrial	flow.Sequence	5_0_0	2021-11-27T13:50:57Z	NA		green	con	FALSE	c	32342	response	NA	NA	NA	x	keypress(x)		467463	467461	435119	435120	435134	467497	ZÖLD
StroopPracticeTrial	flow.Sequence	5_1_0	2021-11-27T13:51:02Z	NA		blue	con	TRUE	n	4288	response	NA	NA	NA	n	keypress(n)		472776	472774	468486	468487	468503	472814	KÉK
StroopPracticeTrial	flow.Sequence	5_2_0	2021-11-27T13:51:05Z	NA		red	inc	TRUE	x	1432	response	NA	NA	NA	x	keypress(x)		475234.00000000006	475233	473801	473802	473818	475261	ZÖLD
StroopPracticeTrial	flow.Sequence	5_3_0	2021-11-27T13:51:08Z	NA		yellow	con	TRUE	m	1822	response	NA	NA	NA	m	keypress(m)		478071	478070	476248	476248	476264	478105	SÁRGA
StroopPracticeTrial	flow.Sequence	5_4_0	2021-11-27T13:51:10Z	NA		green	inc	FALSE	c	1181	response	NA	NA	NA	x	keypress(x)		480274	480273	479092	479093	479109	480316	PIROS
StroopPracticeTrial	flow.Sequence	5_5_0	2021-11-27T13:51:15Z	NA		yellow	inc	TRUE	m	4375	response	NA	NA	NA	m	keypress(m)		485677	485676	481301	481302	481319	485709	KÉK
StroopPracticeTrial	flow.Sequence	5_6_0	2021-11-27T13:51:18Z	NA		red	con	TRUE	x	1409	response	NA	NA	NA	x	keypress(x)		488108	488106	486697	486697	486713	488137	PIROS
StroopPracticeTrial	flow.Sequence	5_7_0	2021-11-27T13:51:22Z	NA		blue	inc	TRUE	n	3293	response	NA	NA	NA	n	keypress(n)		492418	492416	489123	489124	489140	492447	SÁRGA
	flow.Loop	5	2021-11-27T13:51:23Z	NA				NA		58300	completion	NA	NA	NA				493434	493434	435119	435119	435134	493451	
endPracticeScreen	html.Screen	6	2021-11-27T13:51:47Z	NA				NA		23776.00000000006	response	NA	NA	NA	continue	keypress(Space)		517212	517210.00000000006	493434	493434	493451	517254	
	flow.Loop	7_0_0	2021-11-27T13:51:50Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"			NA		2999	completion	NA	NA	NA			"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	520253.00000000006	520253	517237	517212	517254	520269	
1_StroopCalibrationTrial	flow.Sequence	7_0_1_0	2021-11-27T13:51:51Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"	red	con	TRUE	x	675	response	NA	NA	NA	x	keypress(x)	"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	520930.00000000006	520928	520253	520253.00000000006	520269	520961	PIROS
1_StroopCalibrationTrial	flow.Sequence	7_0_1_1	2021-11-27T13:51:54Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"	blue	con	TRUE	n	3254	response	NA	NA	NA	n	keypress(n)	"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	524198.99999999994	524198	520944	520930.00000000006	520961	524232	KÉK
1_StroopCalibrationTrial	flow.Sequence	7_0_1_2	2021-11-27T13:51:56Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"	green	con	TRUE	c	2133	response	NA	NA	NA	c	keypress(c)	"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	526352	526350	524217	524200.00000000006	524232	526390	ZÖLD
1_StroopCalibrationTrial	flow.Sequence	7_0_1_3	2021-11-27T13:51:59Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"	yellow	con	TRUE	m	2801	response	NA	NA	NA	m	keypress(m)	"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	529177	529175	526374	526352	526390	529213	SÁRGA
	flow.Loop	7_0_1	2021-11-27T13:51:59Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"			NA		8906	completion	NA	NA	NA			"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	529177	529175	520253	520253.00000000006	520269	529213	
endCalibrationScreen	html.Screen	7_0_2	2021-11-27T13:53:02Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"			NA		63229	response	NA	2215	NA	continue	keypress(Space)	"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	592427	592426	529197	529177	529213	592461	
	flow.Loop	7_0_3	2021-11-27T13:53:05Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"			NA		3002	completion	NA	2215	NA			"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	595463	595463	592445	592428	592461	595479	
1_StroopTestTrial	flow.Sequence	7_0_4_0	2021-11-27T13:53:08Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"	blue	con	TRUE	n	2458	completion	596801	2215	1322	n		"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	597938	597937	595463	595473	595479	597953	KÉK
1_StroopTestTrial	flow.Sequence	7_0_4_1	2021-11-27T13:53:10Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"	red	con	TRUE	x	2458	completion	598458	2215	505	x		"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	600411	600411	597937	597938	597953	600427	PIROS
1_StroopTestTrial	flow.Sequence	7_0_4_2	2021-11-27T13:53:13Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"	blue	con	TRUE	n	2457	completion	602550.0000000001	2215	2123.0000000001164	n		"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	602884	602884	600411	600411	600427	602901	KÉK
1_StroopTestTrial	flow.Sequence	7_0_4_3	2021-11-27T13:53:15Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"	green	inc	TRUE	c	2457	completion	604846	2215	1945	c		"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	605359	605358	602884	602884	602901	605374	PIROS
1_StroopTestTrial	flow.Sequence	7_0_4_4	2021-11-27T13:53:18Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"	yellow	con	TRUE	m	2459	completion	606814	2215	1440	m		"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	607833	607833	605358	605359	605374	607850	SÁRGA
1_StroopTestTrial	flow.Sequence	7_0_4_5	2021-11-27T13:53:20Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"	green	con	TRUE	c	2457	completion	609249	2215	1399	c		"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	610308	610307	607833	607833	607850	610323	ZÖLD
1_StroopTestTrial	flow.Sequence	7_0_4_6	2021-11-27T13:53:22Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"	blue	inc	NA	n	2458	completion	NA	2215	NA			"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	612782	612781	610307	610308	610323	612798	SÁRGA
1_StroopTestTrial	flow.Sequence	7_0_4_7	2021-11-27T13:53:25Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"	red	inc	FALSE	x	2456	completion	614047	2215	1249	n		"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	615255	615254	612781	612782	612798	615272	ZÖLD
1_StroopTestTrial	flow.Sequence	7_0_4_8	2021-11-27T13:53:27Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"	yellow	inc	TRUE	m	2457	completion	616750	2215	1478	m		"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	617729	617729	615254	615255	615272	617745	KÉK
	flow.Loop	7_0_4	2021-11-27T13:53:27Z	1	"[{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""}]"			NA		22250	completion	NA	2215	NA			"[{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""red"",""congruency"":""con"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""blue"",""congruency"":""con"",""correctResponse"":""n""},{""word"":""PIROS"",""color"":""green"",""congruency"":""inc"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""yellow"",""congruency"":""con"",""correctResponse"":""m""},{""word"":""ZÖLD"",""color"":""green"",""congruency"":""con"",""correctResponse"":""c""},{""word"":""SÁRGA"",""color"":""blue"",""congruency"":""inc"",""correctResponse"":""n""},{""word"":""ZÖLD"",""color"":""red"",""congruency"":""inc"",""correctResponse"":""x""},{""word"":""KÉK"",""color"":""yellow"",""congruency"":""inc"",""correctResponse"":""m""}]"	617730	617729	595463	595473	595479	617745	
